               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.031939,            0.021751,           0.0017423,             0.84305,             0.85755,             0.90399,             0.56232,            0.028842,            0.011962,            0.001042,            0.005446,            0.005446,            0.005446
                  94,            0.032126,            0.021801,           0.0017793,             0.84636,             0.85514,               0.905,             0.56359,            0.028816,            0.011948,           0.0010383,           0.0053965,           0.0053965,           0.0053965
                  95,            0.031807,            0.021698,           0.0017285,             0.84679,             0.85541,             0.90531,             0.56464,             0.02878,            0.011936,           0.0010315,            0.005347,            0.005347,            0.005347
                  96,            0.031914,            0.021641,            0.001728,             0.84697,             0.85652,              0.9066,             0.56548,            0.028745,            0.011923,            0.001029,           0.0052975,           0.0052975,           0.0052975
                  97,             0.03189,            0.021877,            0.001679,             0.84718,             0.85927,             0.90716,             0.56606,            0.028706,            0.011912,           0.0010222,            0.005248,            0.005248,            0.005248
                  98,            0.031758,            0.021647,            0.001687,             0.84815,             0.85905,             0.90761,             0.56707,            0.028667,            0.011899,           0.0010155,           0.0051985,           0.0051985,           0.0051985
                  99,            0.031657,             0.02154,            0.001659,             0.84947,             0.85771,             0.90789,             0.56805,             0.02863,            0.011885,           0.0010109,            0.005149,            0.005149,            0.005149
                 100,            0.031699,            0.021453,           0.0017221,             0.85202,             0.85604,              0.9086,             0.56909,            0.028588,            0.011872,           0.0010077,           0.0050995,           0.0050995,           0.0050995
                 101,            0.031527,            0.021554,           0.0016379,             0.84886,             0.85948,             0.90891,             0.56989,            0.028548,            0.011858,           0.0010039,             0.00505,             0.00505,             0.00505
                 102,              0.0315,            0.021516,           0.0016868,             0.85107,             0.85842,             0.91018,             0.57084,            0.028508,            0.011845,          0.00099996,           0.0050005,           0.0050005,           0.0050005
                 103,            0.031273,            0.021502,           0.0016512,             0.85088,             0.86016,             0.91076,              0.5713,            0.028469,            0.011832,          0.00099656,            0.004951,            0.004951,            0.004951
                 104,            0.031415,            0.021403,           0.0016034,             0.84927,             0.86057,             0.91087,             0.57202,            0.028435,             0.01182,          0.00099401,           0.0049015,           0.0049015,           0.0049015
                 105,            0.031182,            0.021372,           0.0015616,             0.85025,             0.85995,             0.91116,             0.57265,            0.028405,            0.011807,           0.0009882,            0.004852,            0.004852,            0.004852
                 106,            0.030983,            0.021329,           0.0015652,              0.8498,             0.86266,             0.91148,             0.57333,            0.028373,            0.011794,          0.00098328,           0.0048025,           0.0048025,           0.0048025
                 107,            0.031106,            0.021192,           0.0015808,              0.8498,             0.86297,             0.91213,               0.574,             0.02834,            0.011781,           0.0009789,            0.004753,            0.004753,            0.004753
                 108,            0.031089,            0.021223,           0.0016231,             0.85176,             0.86021,              0.9125,             0.57493,            0.028308,            0.011768,           0.0009748,           0.0047035,           0.0047035,           0.0047035
                 109,            0.030962,            0.021141,           0.0016129,             0.85336,              0.8602,             0.91295,             0.57558,            0.028278,            0.011754,           0.0009711,            0.004654,            0.004654,            0.004654
                 110,            0.030642,            0.021285,           0.0015785,             0.85291,             0.85893,              0.9128,             0.57662,            0.028247,            0.011739,          0.00096834,           0.0046045,           0.0046045,           0.0046045
                 111,             0.03086,             0.02105,           0.0014807,             0.85318,             0.85894,             0.91322,             0.57683,            0.028218,            0.011725,          0.00096371,            0.004555,            0.004555,            0.004555
                 112,            0.030824,            0.021103,            0.001647,              0.8547,             0.85859,             0.91376,             0.57768,            0.028187,             0.01171,           0.0009587,           0.0045055,           0.0045055,           0.0045055
                 113,            0.030676,            0.020926,           0.0015027,              0.8541,             0.85882,             0.91409,              0.5783,            0.028155,            0.011697,          0.00095381,            0.004456,            0.004456,            0.004456
                 114,            0.030567,            0.020905,           0.0014851,             0.85399,             0.86415,             0.91507,             0.57866,            0.028121,            0.011683,          0.00095049,           0.0044065,           0.0044065,           0.0044065
                 115,            0.030436,            0.020801,           0.0015593,             0.85516,             0.86488,             0.91611,             0.57883,            0.028091,            0.011668,          0.00094746,            0.004357,            0.004357,            0.004357
                 116,            0.030354,            0.020937,            0.001455,             0.85601,             0.86716,             0.91636,              0.5794,             0.02806,            0.011655,          0.00094416,           0.0043075,           0.0043075,           0.0043075
